,loss,mae,val_loss,val_mae
0,414546919424.0,537481.0,431653584896.0,537632.125
1,411636957184.0,535451.375,424959836160.0,533145.8125
2,398481588224.0,526366.3125,402837667840.0,517985.84375
3,364852674560.0,501917.6875,354856370176.0,482853.46875
4,302745649152.0,451808.59375,275547127808.0,415743.6875
5,215231070208.0,366519.59375,182307651584.0,319300.96875
6,141996965888.0,283153.28125,130161426432.0,267307.4375
7,119236657152.0,263443.09375,123544133632.0,264172.71875
8,114537873408.0,259581.109375,119709130752.0,260899.78125
9,110639767552.0,255614.203125,116339605504.0,257675.546875
10,107056365568.0,251590.53125,113038991360.0,254977.609375
11,103798751232.0,247885.28125,110148919296.0,251363.125
12,100437819392.0,243850.515625,107206901760.0,248086.421875
13,97328529408.0,239928.921875,104210792448.0,243943.828125
14,94003068928.0,235657.671875,100892598272.0,239756.953125
15,90287734784.0,230641.9375,97264934912.0,234790.25
16,86502858752.0,225501.609375,93368213504.0,229330.765625
17,81836072960.0,218787.015625,88121909248.0,222316.75
18,76405776384.0,210558.171875,81908809728.0,213056.875
19,69971296256.0,199975.015625,75026440192.0,201413.171875
20,63551729664.0,188282.1875,68505206784.0,189058.390625
21,57602195456.0,176626.203125,63467053056.0,177142.90625
22,53076434944.0,166497.0625,59031191552.0,167833.96875
23,49434546176.0,158331.953125,55741616128.0,160771.640625
24,46617149440.0,152146.765625,53558579200.0,152654.90625
25,44144644096.0,145246.3125,50907480064.0,147830.953125
26,42067369984.0,139935.046875,49137967104.0,140680.046875
27,40314798080.0,134399.765625,47643324416.0,135268.59375
28,38857895936.0,129577.109375,46121578496.0,132638.53125
29,37720231936.0,126297.203125,45212749824.0,128501.4375
30,36835205120.0,123986.0703125,44667232256.0,125178.25
31,36250894336.0,121332.40625,43760369664.0,124724.515625
32,35744317440.0,120102.234375,43363467264.0,122876.2265625
33,35355623424.0,119158.21875,42837164032.0,122095.8828125
34,35017539584.0,117877.015625,42401230848.0,120980.7109375
35,34601525248.0,117312.3671875,42125725696.0,119346.4296875
36,34360389632.0,116418.2734375,42045071360.0,117842.96875
37,34085244928.0,115742.0390625,41404477440.0,118687.1953125
38,33835520000.0,115533.5078125,41280335872.0,118031.6640625
39,33660389376.0,115158.078125,41319428096.0,116496.1640625
40,33492926464.0,114593.6015625,40706949120.0,118490.3671875
41,33374242816.0,114619.2890625,40574103552.0,118635.2734375
42,33258270720.0,114703.875,40481148928.0,117883.890625
43,33140977664.0,114513.7578125,40441376768.0,117152.765625
44,33057738752.0,114127.3515625,40320249856.0,117117.1953125
45,32975435776.0,113854.78125,40428736512.0,116092.3515625
46,32930279424.0,113734.3984375,40234405888.0,116483.90625
47,32855040000.0,113848.7578125,40229085184.0,115974.21875
48,32822554624.0,113259.859375,39996428288.0,117178.3515625
49,32763074560.0,113462.453125,40010481664.0,116495.3203125
50,32713955328.0,113305.4921875,39915962368.0,116553.828125
51,32615667712.0,113161.953125,39859605504.0,116485.9375
52,32617463808.0,113228.078125,39819526144.0,116180.453125
53,32579995648.0,113056.3359375,39701803008.0,116360.65625
54,32497379328.0,113215.8203125,39824588800.0,115384.265625
55,32464871424.0,113073.2109375,39908368384.0,114956.6953125
56,32500314112.0,112735.953125,39747354624.0,115246.015625
57,32413894656.0,112883.1484375,39773687808.0,114932.6328125
58,32380049408.0,112552.1796875,39537541120.0,115676.7109375
59,32355512320.0,112764.46875,39482834944.0,115406.015625
60,32309747712.0,112556.4609375,39331885056.0,116487.5546875
61,32299689984.0,112873.25,39534874624.0,115024.84375
62,32271872000.0,112736.7890625,39589789696.0,114734.2734375
63,32260116480.0,112218.703125,39243517952.0,116486.03125
64,32253450240.0,112445.09375,39213314048.0,116570.5234375
65,32223105024.0,112587.5703125,39176683520.0,116206.9765625
66,32179914752.0,112716.5078125,39274123264.0,115387.90625
67,32203747328.0,112240.046875,39069339648.0,116615.6796875
68,32160155648.0,112756.7734375,39242985472.0,115148.046875
69,32147005440.0,112384.7890625,39203258368.0,115128.015625
70,32153292800.0,112175.0859375,39162408960.0,115257.5
71,32137539584.0,112384.125,39173619712.0,115150.28125
72,32114360320.0,112263.7734375,39180320768.0,114952.1171875
73,32079706112.0,112377.78125,39103283200.0,115009.5
74,32089370624.0,112146.5703125,39111454720.0,114914.1875
75,32075288576.0,111744.8984375,38969143296.0,115816.0859375
76,32032509952.0,112582.9296875,39145967616.0,114737.5078125
77,32029779968.0,112384.5,39233187840.0,114287.078125
78,31983257600.0,112170.7734375,39303454720.0,114189.3359375
79,32002910208.0,111745.7109375,38824083456.0,116061.4296875
80,32011042816.0,112311.734375,39006457856.0,114802.0078125
81,31993346048.0,112036.3828125,38847336448.0,115488.3203125
82,32002983936.0,111968.0234375,38884835328.0,115472.7421875
83,31973183488.0,111942.8046875,38768852992.0,116348.953125
84,31947892736.0,112401.6328125,38794756096.0,115623.9765625
85,31958540288.0,112070.71875,38773714944.0,115705.359375
